id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,currencysymbol__c,currency_name__c,displayformat__c,decimalpointchar__c,decimalpoints__c,storefront__c,thousandspointchar__c,default__c,
a8N6C0000004hdgUAA,false,NOK,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"107, 114",Norwegian Krone,{0}{1},comma,2.0,DefaultStore,dot,false,
a8N6C0000004hdhUAA,false,NPR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8360,Nepalese Rupee,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdiUAA,false,NZD,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,36,New Zealand Dollar,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdjUAA,false,OMR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,65020,Omani Rial,{0}{1},dot,3.0,DefaultStore,comma,false,
a8N6C0000004hdkUAA,false,PAB,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"66, 47, 46",Panama Balboa,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdlUAA,false,PEN,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"83, 47, 46",Peruvian Nuevo Sol,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdmUAA,false,PGK,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"83, 47, 46",Papua New Guinea Kina,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdnUAA,false,PHP,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8369,Philippine Peso,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdoUAA,false,PKR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8360,Pakistani Rupee,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdpUAA,false,PLN,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"122, 322",Polish Zloty,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdTUAQ,false,MOP,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8366,Macau Pataca,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdUUAQ,false,MRO,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8366,Mauritania Ougulya,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdVUAQ,false,MUR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8360,Mauritius Rupee,{0}{1},,0.0,DefaultStore,comma,false,
a8N6C0000004hdqUAA,false,PTE,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8364,Portuguese escudo,{1}{0},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdrUAA,false,PYG,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"71, 115",Paraguayan Guarani,{0}{1},,0.0,DefaultStore,comma,false,
a8N6C0000004hdsUAA,false,QAR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,65020,Qatar Rial,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdtUAA,false,RON,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"108, 101, 105",Romanian Leu,{0}{1},comma,2.0,DefaultStore,dot,false,
a8N6C0000004hduUAA,false,RSD,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"1044, 1080, 1085, 46",Serbian Dinar,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdvUAA,false,RUB,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"1088, 1091, 1073",Russian Rouble,{0}{1},comma,2.0,DefaultStore,dot,false,
a8N6C0000004hdwUAA,false,RWF,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,"1088, 1091, 1073",Rwanda Franc,{0}{1},,0.0,DefaultStore,comma,false,
a8N6C0000004hdxUAA,false,SAR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,65020,Saudi Arabian Riyal,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdyUAA,false,SBD,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,36,Solomon Islands Dollar,{0}{1},comma,2.0,DefaultStore,ws,false,
a8N6C0000004hdWUAQ,false,MVR,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8360,Maldives Rufiyaa,{0}{1},dot,2.0,DefaultStore,comma,false,
a8N6C0000004hdXUAQ,false,MWK,USD,00D6C0000000cYAUAY,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,0056C000000O3jNQAS,2016-12-26 16:44:32,,,8360,Malawi Kwacha,{0}{1},dot,2.0,DefaultStore,comma,false,
